Nama;Jenis Penyakit;Cara pengolahan;Cara Pemanfaatan;Bagian Tumbuhan;Jenis Tumbuhan;qi
Uduk-uduk/Karamunting;sariawan;Langsung;Dimakan;Daun;perdu;0.018858287
sirih;karies gigi;Langsung;Dimakan;Daun;liana;0.013006517
Arok / ara;Obat Mencret;Langsung;Dimakan;Daun;pohon;0.019875986
Hiring;Maag ;Langsung;Dimakan;Batang;semak;0.007350571
pulutan;sakit gigi;Langsung;Dimakan;Batang;semak;0.007350571
Tangkuhis/mata kucing;sakit perut;Langsung;Dimakan;Buah;Pohon;0.013501484
Kinai / langsat;Sembelit;Langsung;Dimakan;Buah;Pohon;0.013501484
Akar Letup/ ciplukan; Sariawan;Langsung;Dimakan;Buah;semak;0.008412988
Saga rambat;sariawan;Langsung;Dikumur;Daun;perdu;0.016851944
Patah tulang;Sakit Gigi;Langsung;Dioles ;Getah;Perdu;0.008997448
Pulai;Sakit Gigi;Langsung;Dioles ;Getah;pohon;0.010015147
kakabat biru;diare;Dihaluskan;Diminum;Daun;perdu;0.019141573
puring;sembelit. cacingan;Dihaluskan;Diminum;Daun;herba;0.015834051
Daruju;cacingan;Dihaluskan;Diminum;Biji;perdu;0.011917137
pepaya;cacingan;Dihaluskan;Diminum;Biji;Pohon;0.012934836
Belimbing wuluh;usus buntu;Dihaluskan;Diminum;Buah;Pohon;0.01378477
Jati Belanda;diare. maag;Dihaluskan;Diminum;Buah;Pohon;0.01378477
kwalot/Buah Makassar;Wasir;Dihaluskan;Diminum;Buah;Pohon;0.01378477
mengkudu;Susah BAB;Dihaluskan;Diminum;Buah;semak;0.008696275
temu rapet;disentri;Dihaluskan;Diminum;Umbi;herba;0.008609615
Ahiok/ jahe;dispepsia. diare;Dihaluskan;Diminum;Umbi;herba;0.008609615
Kunyit;dispepsia. diare;Dihaluskan;Diminum;Umbi;herba;0.008609615
Sangkariho;diare;Dihaluskan;Diminum ;Daun;perdu;0.019141573
Pempeng/ mahang damar;diare;Dihaluskan;Diminum ;Kulit batang;Pohon ;0.012934836
Sembora/Tembora;Sakit Perut;Dihaluskan;Dioles;Daun;semak;0.013284307
Litu/Mintu;Sakit gigi;Dihaluskan;Dioles;Akar;semak;0.005847388
Daun manggala;Sakit Perut;Dihaluskan;Dioles ;Daun;perdu;0.017355104
Duriot;Sembelit;Dihaluskan;Dioles ;Daun;perdu;0.017355104
Daun kayu putih;Sakit perut;Dihaluskan;Dioles ;Daun;pohon;0.018372803
Sisik naga;sariawan;Direbus;Dikumur;Daun;Liana;0.012303291
Sembung;Maag;Direbus;Diminum;Daun;perdu;0.020161403
Kelor;Sembelit;Direbus;Diminum;Daun;perdu;0.020161403
Ombung-ombung/sembung;Diare. Sakit Perut;Direbus;Diminum;Daun;herba;0.016853881
Nangka Belanda/Sirsak;Diare;Direbus;Diminum;Daun;Pohon;0.021179102
Jambu Biji;Diare;Direbus;Diminum;Daun;Pohon;0.021179102
 daun salam; ;Direbus;Diminum;Daun;pohon;0.021179102
Jambu batu;Sakit Perut;Direbus;Diminum;Daun;pohon;0.021179102
Limpasu;sakit perut;Direbus;Diminum;Daun;Pohon;0.021179102
Salam;maag;Direbus;Diminum;Daun;Pohon;0.021179102
sikas;maag;Direbus;Diminum;Daun;Pohon;0.021179102
Iler/Miana;Wasir;Direbus;Diminum;Daun;Semak;0.016090607
Bunga pagoda;Wasir;Direbus;Diminum;Akar;perdu;0.012724484
arben/rerendem;Disentri;Direbus;Diminum;akar;Perdu;0.012724484
Hanjuang/Andong;BAB Berdarah;Direbus;Diminum;Akar;herba;0.009416962
Kayu Manis;maag;Direbus;Diminum;Batang;Pohon;0.013742183
Srigading;Sembelit;Direbus;Diminum;Biji;perdu;0.012936967
Kacapiring;Sembelit;Direbus;Diminum;biji;perdu;0.012936967
Kemangi;Disentri;Direbus;Diminum;Biji;herba;0.009629445
Buah/Tongkol Ulur-ulur;Ambeien dan Diare;Direbus;Diminum;Buah;liana;0.007935131
Biduri;Gastritis;Direbus;Diminum;Bunga;perdu;0.012087034
Kenop;Disentri;Direbus;Diminum;Bunga;herba;0.008779512
Sengkuang;Diare;Direbus;Diminum;Kulit Batang;Pohon;0.013954667
Kayu Serai;ambaien;Direbus;Diminum;Kulit Batang;Pohon;0.013954667
bungur;Disentri.diare.;Direbus;Diminum;Kulit Batang;pohon;0.013954667
Jambu mede;Sembelit;Direbus;Diminum;Kulit Batang;Pohon;0.013954667
kucing-kucingan;Sembelit;Direbus;Diminum;Semua;perdu;0.013574418
Putri malu;cacingan;Direbus;Diminum;Semua;perdu;0.013574418
Bandotan;Sariawan;Direbus;Diminum;Semua;herba;0.010266895
Jombang;Maag;Direbus;Diminum;Semua;herba;0.010266895
Tali putri;disentri;Direbus;Diminum;Semua;Liana;0.007722648
Pegagan ;ambaien;Direbus;Diminum ;Semua;semak;0.009503621
kusuma indrat/patikan kerbau;diare;Direbus ;Diminum;Daun;perdu;0.020161403
Akar Kuning;cacingan;Direbus ;Diminum;Batang;  liana;0.006872714
manggis;Sakit perut;Direbus ;Diminum;Kulit buah;Pohon;0.012679766
Sambiloto ; diare ;Direbus ;Diminum ;Daun;perdu;0.020161403
Daun ungu;Sembelit. wasir;Direbus ;Diminum ;Daun;Perdu ;0.020161403
Katuk ;Sembelit;Direbus ;Diminum ;Daun;Semak ;0.016090607
Tabang ;diare;Direbus ;Diminum ;Daun ;perdu;0.020161403
Meniran ;Disentri;Direbus ;Diminum ;Semua;semak;0.009503621
kencur;Maag;Direbus ;Diminum ;Umbi;herba;0.009629445
Rinyuang ;sembelit;Direbus ;Dioles ;Daun ;Pohon ;0.019392633
